household_id,variable,value
5,hh_income,90334
5,hh_size,2
5,num_children,0
9,hh_income,66216
9,hh_size,2
9,num_children,0
22,hh_income,84614
22,hh_size,3
22,num_children,0
31,hh_income,60285
31,hh_size,2
31,num_children,0
35,hh_income,29392
35,hh_size,1
35,num_children,0
37,hh_income,1278
37,hh_size,1
37,num_children,0
41,hh_income,491
41,hh_size,2
41,num_children,0
42,hh_income,106647
42,hh_size,1
42,num_children,0
43,hh_income,150194
43,hh_size,2
43,num_children,0
49,hh_income,173771
49,hh_size,4
49,num_children,0
58,hh_income,120254
58,hh_size,2
58,num_children,0
71,hh_income,122347
71,hh_size,4
71,num_children,2
75,hh_income,10274
75,hh_size,1
75,num_children,0
77,hh_income,70389
77,hh_size,3
77,num_children,1
90,hh_income,49216
90,hh_size,1
90,num_children,0
91,hh_income,132685
91,hh_size,5
91,num_children,3
99,hh_income,161639
99,hh_size,3
99,num_children,2
102,hh_income,19061
102,hh_size,3
102,num_children,1
104,hh_income,142616
104,hh_size,4
104,num_children,1
106,hh_income,75158
106,hh_size,1
106,num_children,0
107,hh_income,1560
107,hh_size,1
107,num_children,0
109,hh_income,134511
109,hh_size,2
109,num_children,0
111,hh_income,67827
111,hh_size,4
111,num_children,0
113,hh_income,66342
113,hh_size,5
113,num_children,3
119,hh_income,72173
119,hh_size,4
119,num_children,1
120,hh_income,83317
120,hh_size,2
120,num_children,0
125,hh_income,75351
125,hh_size,2
125,num_children,0
140,hh_income,44184
140,hh_size,1
140,num_children,0
150,hh_income,67615
150,hh_size,2
150,num_children,0
153,hh_income,97061
153,hh_size,3
153,num_children,0
156,hh_income,57617
156,hh_size,2
156,num_children,0
157,hh_income,35779
157,hh_size,2
157,num_children,0
162,hh_income,70177
162,hh_size,2
162,num_children,0
170,hh_income,18342
170,hh_size,1
170,num_children,0
173,hh_income,103977
173,hh_size,2
173,num_children,0
176,hh_income,157351
176,hh_size,2
176,num_children,0
190,hh_income,58781
190,hh_size,2
190,num_children,0
192,hh_income,134080
192,hh_size,3
192,num_children,1
219,hh_income,124600
219,hh_size,4
219,num_children,0
220,hh_income,49337
220,hh_size,3
220,num_children,1
248,hh_income,68802
248,hh_size,3
248,num_children,2
250,hh_income,110421
250,hh_size,2
250,num_children,0
251,hh_income,25036
251,hh_size,2
251,num_children,0
254,hh_income,116436
254,hh_size,2
254,num_children,0
262,hh_income,45183
262,hh_size,1
262,num_children,0
264,hh_income,22735
264,hh_size,2
264,num_children,1
266,hh_income,42125
266,hh_size,1
266,num_children,0
275,hh_income,567480
275,hh_size,3
275,num_children,0
277,hh_income,115975
277,hh_size,2
277,num_children,0
283,hh_income,47642
283,hh_size,2
283,num_children,0
286,hh_income,128177
286,hh_size,1
286,num_children,0
288,hh_income,125476
288,hh_size,4
288,num_children,2
291,hh_income,10282
291,hh_size,4
291,num_children,3
297,hh_income,6189
297,hh_size,1
297,num_children,0
306,hh_income,199971
306,hh_size,4
306,num_children,2
311,hh_income,400342
311,hh_size,4
311,num_children,2
317,hh_income,24844
317,hh_size,2
317,num_children,0
324,hh_income,53284
324,hh_size,2
324,num_children,0
327,hh_income,23110
327,hh_size,3
327,num_children,2
338,hh_income,111614
338,hh_size,3
338,num_children,0
339,hh_income,30368
339,hh_size,2
339,num_children,0
342,hh_income,12529
342,hh_size,3
342,num_children,0
344,hh_income,26193
344,hh_size,1
344,num_children,0
359,hh_income,50632
359,hh_size,2
359,num_children,0
362,hh_income,230
362,hh_size,1
362,num_children,0
363,hh_income,25019
363,hh_size,1
363,num_children,0
371,hh_income,54831
371,hh_size,2
371,num_children,0
373,hh_income,60503
373,hh_size,2
373,num_children,0
374,hh_income,86826
374,hh_size,2
374,num_children,0
383,hh_income,126539
383,hh_size,4
383,num_children,0
390,hh_income,95406
390,hh_size,2
390,num_children,0
393,hh_income,15740
393,hh_size,1
393,num_children,0
406,hh_income,21573
406,hh_size,2
406,num_children,0
407,hh_income,79458
407,hh_size,2
407,num_children,0
419,hh_income,3516
419,hh_size,5
419,num_children,3
442,hh_income,50599
442,hh_size,5
442,num_children,3
444,hh_income,1454
444,hh_size,1
444,num_children,0
452,hh_income,20266
452,hh_size,5
452,num_children,3
455,hh_income,13488
455,hh_size,1
455,num_children,0
458,hh_income,102909
458,hh_size,2
458,num_children,0
460,hh_income,157
460,hh_size,1
460,num_children,0
461,hh_income,30203
461,hh_size,1
461,num_children,0
474,hh_income,4305
474,hh_size,1
474,num_children,0
478,hh_income,60210
478,hh_size,1
478,num_children,0
480,hh_income,76943
480,hh_size,1
480,num_children,0
483,hh_income,245473
483,hh_size,3
483,num_children,0
485,hh_income,51716
485,hh_size,2
485,num_children,0
487,hh_income,297354
487,hh_size,3
487,num_children,0
488,hh_income,250266
488,hh_size,3
488,num_children,1
497,hh_income,100185
497,hh_size,1
497,num_children,0
501,hh_income,16172
501,hh_size,1
501,num_children,0
520,hh_income,506
520,hh_size,4
520,num_children,2
524,hh_income,43516
524,hh_size,3
524,num_children,0
533,hh_income,142680
533,hh_size,2
533,num_children,0
536,hh_income,114607
536,hh_size,3
536,num_children,1
538,hh_income,50520
538,hh_size,2
538,num_children,0
545,hh_income,109907
545,hh_size,9
545,num_children,3
551,hh_income,50099
551,hh_size,1
551,num_children,0
558,hh_income,55711
558,hh_size,9
558,num_children,5
559,hh_income,24126
559,hh_size,1
559,num_children,0
561,hh_income,165223
561,hh_size,2
561,num_children,0
570,hh_income,60977
570,hh_size,1
570,num_children,0
576,hh_income,121892
576,hh_size,4
576,num_children,0
581,hh_income,4580
581,hh_size,1
581,num_children,0
585,hh_income,22746
585,hh_size,1
585,num_children,0
593,hh_income,66674
593,hh_size,2
593,num_children,1
595,hh_income,25405
595,hh_size,1
595,num_children,0
611,hh_income,129714
611,hh_size,2
611,num_children,0
614,hh_income,156201
614,hh_size,7
614,num_children,2
617,hh_income,63
617,hh_size,1
617,num_children,0
638,hh_income,13529
638,hh_size,1
638,num_children,0
643,hh_income,18282
643,hh_size,1
643,num_children,0
659,hh_income,120360
659,hh_size,2
659,num_children,0
665,hh_income,51214
665,hh_size,2
665,num_children,0
670,hh_income,8975
670,hh_size,3
670,num_children,0
672,hh_income,73379
672,hh_size,5
672,num_children,3
677,hh_income,39334
677,hh_size,2
677,num_children,0
690,hh_income,124633
690,hh_size,3
690,num_children,0
703,hh_income,63370
703,hh_size,2
703,num_children,0
708,hh_income,101722
708,hh_size,5
708,num_children,1
720,hh_income,35198
720,hh_size,1
720,num_children,0
724,hh_income,75335
724,hh_size,2
724,num_children,0
725,hh_income,131491
725,hh_size,2
725,num_children,0
730,hh_income,43421
730,hh_size,3
730,num_children,1
735,hh_income,56229
735,hh_size,1
735,num_children,0
740,hh_income,53248
740,hh_size,2
740,num_children,1
743,hh_income,82718
743,hh_size,2
743,num_children,0
746,hh_income,18420
746,hh_size,2
746,num_children,0
748,hh_income,102127
748,hh_size,1
748,num_children,0
758,hh_income,39078
758,hh_size,4
758,num_children,1
761,hh_income,105244
761,hh_size,1
761,num_children,0
765,hh_income,97429
765,hh_size,2
765,num_children,0
773,hh_income,2751
773,hh_size,6
773,num_children,4
783,hh_income,8857
783,hh_size,1
783,num_children,0
787,hh_income,71068
787,hh_size,2
787,num_children,0
793,hh_income,610482
793,hh_size,2
793,num_children,0
794,hh_income,44332
794,hh_size,4
794,num_children,2
795,hh_income,245421
795,hh_size,5
795,num_children,3
802,hh_income,24443
802,hh_size,2
802,num_children,0
804,hh_income,42191
804,hh_size,1
804,num_children,0
813,hh_income,34241
813,hh_size,3
813,num_children,1
817,hh_income,114
817,hh_size,1
817,num_children,0
826,hh_income,47111
826,hh_size,5
826,num_children,3
829,hh_income,240297
829,hh_size,4
829,num_children,2
841,hh_income,31304
841,hh_size,2
841,num_children,0
851,hh_income,17676
851,hh_size,1
851,num_children,0
852,hh_income,69959
852,hh_size,4
852,num_children,1
861,hh_income,76701
861,hh_size,7
861,num_children,4
864,hh_income,22955
864,hh_size,1
864,num_children,0
869,hh_income,88280
869,hh_size,3
869,num_children,1
872,hh_income,36593
872,hh_size,2
872,num_children,0
874,hh_income,110509
874,hh_size,2
874,num_children,0
879,hh_income,55475
879,hh_size,2
879,num_children,0
881,hh_income,21723
881,hh_size,1
881,num_children,0
884,hh_income,57435
884,hh_size,4
884,num_children,2
885,hh_income,12609
885,hh_size,1
885,num_children,0
889,hh_income,68160
889,hh_size,1
889,num_children,0
893,hh_income,100827
893,hh_size,2
893,num_children,0
898,hh_income,214
898,hh_size,1
898,num_children,0
899,hh_income,54397
899,hh_size,2
899,num_children,0
903,hh_income,81508
903,hh_size,6
903,num_children,4
908,hh_income,80366
908,hh_size,3
908,num_children,2
910,hh_income,91382
910,hh_size,2
910,num_children,0
911,hh_income,50001
911,hh_size,2
911,num_children,0
913,hh_income,103541
913,hh_size,7
913,num_children,4
917,hh_income,16489
917,hh_size,2
917,num_children,0
934,hh_income,94385
934,hh_size,2
934,num_children,0
937,hh_income,177634
937,hh_size,4
937,num_children,0
939,hh_income,47446
939,hh_size,2
939,num_children,0
940,hh_income,84582
940,hh_size,3
940,num_children,0
941,hh_income,128401
941,hh_size,3
941,num_children,1
946,hh_income,230
946,hh_size,1
946,num_children,0
955,hh_income,63877
955,hh_size,5
955,num_children,2
963,hh_income,75679
963,hh_size,2
963,num_children,0
967,hh_income,530340
967,hh_size,2
967,num_children,0
980,hh_income,299
980,hh_size,1
980,num_children,0
981,hh_income,47553
981,hh_size,1
981,num_children,0
1011,hh_income,63378
1011,hh_size,2
1011,num_children,0
1018,hh_income,70847
1018,hh_size,2
1018,num_children,0
1035,hh_income,15210
1035,hh_size,1
1035,num_children,0
1036,hh_income,62110
1036,hh_size,2
1036,num_children,0
1037,hh_income,61289
1037,hh_size,2
1037,num_children,0
1038,hh_income,190691
1038,hh_size,4
1038,num_children,2
1048,hh_income,92886
1048,hh_size,4
1048,num_children,2
1054,hh_income,39017
1054,hh_size,1
1054,num_children,0
1055,hh_income,65706
1055,hh_size,2
1055,num_children,0
1061,hh_income,60625
1061,hh_size,2
1061,num_children,0
1075,hh_income,14390
1075,hh_size,1
1075,num_children,0
1076,hh_income,131689
1076,hh_size,5
1076,num_children,3
1081,hh_income,100474
1081,hh_size,2
1081,num_children,0
1084,hh_income,92340
1084,hh_size,2
1084,num_children,0
1095,hh_income,7200
1095,hh_size,1
1095,num_children,0
1113,hh_income,171472
1113,hh_size,4
1113,num_children,0
1120,hh_income,220526
1120,hh_size,2
1120,num_children,0
1132,hh_income,45876
1132,hh_size,2
1132,num_children,0
1135,hh_income,37572
1135,hh_size,2
1135,num_children,0
1137,hh_income,164050
1137,hh_size,4
1137,num_children,0
1144,hh_income,114712
1144,hh_size,3
1144,num_children,0
1147,hh_income,20428
1147,hh_size,4
1147,num_children,2
1149,hh_income,33823
1149,hh_size,2
1149,num_children,0
1157,hh_income,85431
1157,hh_size,2
1157,num_children,0
1159,hh_income,60741
1159,hh_size,2
1159,num_children,0
1165,hh_income,13942
1165,hh_size,2
1165,num_children,0
1168,hh_income,201
1168,hh_size,1
1168,num_children,0
1182,hh_income,271
1182,hh_size,1
1182,num_children,0
1191,hh_income,84951
1191,hh_size,2
1191,num_children,0
1196,hh_income,24225
1196,hh_size,1
1196,num_children,0
1197,hh_income,156423
1197,hh_size,2
1197,num_children,0
1202,hh_income,31421
1202,hh_size,1
1202,num_children,0
1207,hh_income,30287
1207,hh_size,2
1207,num_children,0
1221,hh_income,38140
1221,hh_size,1
1221,num_children,0
1223,hh_income,150480
1223,hh_size,3
1223,num_children,1
1233,hh_income,62017
1233,hh_size,1
1233,num_children,0
1247,hh_income,2306
1247,hh_size,1
1247,num_children,0
1252,hh_income,79603
1252,hh_size,3
1252,num_children,0
1253,hh_income,129413
1253,hh_size,5
1253,num_children,3
1259,hh_income,171443
1259,hh_size,2
1259,num_children,0
1262,hh_income,72788
1262,hh_size,5
1262,num_children,1
1273,hh_income,1791
1273,hh_size,1
1273,num_children,0
1274,hh_income,17806
1274,hh_size,1
1274,num_children,0
1275,hh_income,15173
1275,hh_size,1
1275,num_children,0
1280,hh_income,122906
1280,hh_size,4
1280,num_children,2
1283,hh_income,35359
1283,hh_size,4
1283,num_children,2
1290,hh_income,47734
1290,hh_size,3
1290,num_children,0
1291,hh_income,52166
1291,hh_size,2
1291,num_children,0
1293,hh_income,30445
1293,hh_size,2
1293,num_children,0
1299,hh_income,53522
1299,hh_size,4
1299,num_children,2
1304,hh_income,56201
1304,hh_size,4
1304,num_children,2
1305,hh_income,18506
1305,hh_size,1
1305,num_children,0
1308,hh_income,49235
1308,hh_size,1
1308,num_children,0
1310,hh_income,253450
1310,hh_size,4
1310,num_children,2
1320,hh_income,18439
1320,hh_size,1
1320,num_children,0
1332,hh_income,192656
1332,hh_size,5
1332,num_children,2
1335,hh_income,11515
1335,hh_size,1
1335,num_children,0
1340,hh_income,48524
1340,hh_size,1
1340,num_children,0
1346,hh_income,158539
1346,hh_size,2
1346,num_children,0
1347,hh_income,31495
1347,hh_size,2
1347,num_children,0
1351,hh_income,144141
1351,hh_size,1
1351,num_children,0
1352,hh_income,108002
1352,hh_size,2
1352,num_children,0
1356,hh_income,12507
1356,hh_size,1
1356,num_children,0
1358,hh_income,55545
1358,hh_size,2
1358,num_children,0
1360,hh_income,42194
1360,hh_size,3
1360,num_children,2
1365,hh_income,94370
1365,hh_size,1
1365,num_children,0
1366,hh_income,98478
1366,hh_size,2
1366,num_children,0
1371,hh_income,7970
1371,hh_size,3
1371,num_children,1
1375,hh_income,102174
1375,hh_size,4
1375,num_children,0
1388,hh_income,62467
1388,hh_size,3
1388,num_children,1
1389,hh_income,140801
1389,hh_size,3
1389,num_children,0
1391,hh_income,92436
1391,hh_size,2
1391,num_children,0
1399,hh_income,8631
1399,hh_size,1
1399,num_children,0
1402,hh_income,58478
1402,hh_size,2
1402,num_children,0
1414,hh_income,227
1414,hh_size,1
1414,num_children,0
1420,hh_income,21248
1420,hh_size,1
1420,num_children,0
1424,hh_income,244
1424,hh_size,1
1424,num_children,0
1426,hh_income,249062
1426,hh_size,2
1426,num_children,0
1441,hh_income,128078
1441,hh_size,4
1441,num_children,1
1442,hh_income,82286
1442,hh_size,2
1442,num_children,0
1443,hh_income,116185
1443,hh_size,4
1443,num_children,0
1444,hh_income,20141
1444,hh_size,2
1444,num_children,1
1445,hh_income,27053
1445,hh_size,3
1445,num_children,0
1452,hh_income,55214
1452,hh_size,1
1452,num_children,0
1458,hh_income,117383
1458,hh_size,4
1458,num_children,2
1459,hh_income,190295
1459,hh_size,2
1459,num_children,0
1460,hh_income,561
1460,hh_size,1
1460,num_children,0
1463,hh_income,152400
1463,hh_size,2
1463,num_children,0
1464,hh_income,66056
1464,hh_size,4
1464,num_children,2
1465,hh_income,56821
1465,hh_size,2
1465,num_children,0
1466,hh_income,28704
1466,hh_size,2
1466,num_children,0
1469,hh_income,320263
1469,hh_size,5
1469,num_children,3
1470,hh_income,11262
1470,hh_size,1
1470,num_children,0
1474,hh_income,48628
1474,hh_size,3
1474,num_children,1
1491,hh_income,154021
1491,hh_size,2
1491,num_children,0
1496,hh_income,133330
1496,hh_size,3
1496,num_children,1
1497,hh_income,54500
1497,hh_size,2
1497,num_children,0
1498,hh_income,100453
1498,hh_size,4
1498,num_children,2
1509,hh_income,452995
1509,hh_size,2
1509,num_children,0
1510,hh_income,50389
1510,hh_size,5
1510,num_children,3
1511,hh_income,59532
1511,hh_size,3
1511,num_children,1
1517,hh_income,6744
1517,hh_size,1
1517,num_children,0
1523,hh_income,43148
1523,hh_size,3
1523,num_children,2
1524,hh_income,95393
1524,hh_size,4
1524,num_children,2
1529,hh_income,56533
1529,hh_size,6
1529,num_children,4
1530,hh_income,77779
1530,hh_size,2
1530,num_children,0
1540,hh_income,19189
1540,hh_size,1
1540,num_children,0
1547,hh_income,313
1547,hh_size,1
1547,num_children,0
1549,hh_income,2550
1549,hh_size,1
1549,num_children,0
1557,hh_income,24096
1557,hh_size,1
1557,num_children,0
1559,hh_income,78561
1559,hh_size,2
1559,num_children,0
1561,hh_income,27431
1561,hh_size,2
1561,num_children,0
1569,hh_income,90573
1569,hh_size,4
1569,num_children,2
1572,hh_income,82342
1572,hh_size,3
1572,num_children,1
1575,hh_income,2701
1575,hh_size,1
1575,num_children,0
1587,hh_income,39879
1587,hh_size,1
1587,num_children,0
1597,hh_income,82098
1597,hh_size,1
1597,num_children,0
1598,hh_income,154
1598,hh_size,1
1598,num_children,0
1602,hh_income,29716
1602,hh_size,2
1602,num_children,0
1605,hh_income,70310
1605,hh_size,2
1605,num_children,0
1609,hh_income,15378
1609,hh_size,2
1609,num_children,0
1618,hh_income,116675
1618,hh_size,1
1618,num_children,0
1622,hh_income,48326
1622,hh_size,1
1622,num_children,0
1624,hh_income,18479
1624,hh_size,3
1624,num_children,0
1625,hh_income,81608
1625,hh_size,3
1625,num_children,1
1633,hh_income,162344
1633,hh_size,2
1633,num_children,0
1644,hh_income,60137
1644,hh_size,1
1644,num_children,0
1650,hh_income,161129
1650,hh_size,2
1650,num_children,0
1657,hh_income,46408
1657,hh_size,2
1657,num_children,0
1658,hh_income,21345
1658,hh_size,1
1658,num_children,0
1662,hh_income,19368
1662,hh_size,2
1662,num_children,0
1664,hh_income,25333
1664,hh_size,2
1664,num_children,1
1668,hh_income,15736
1668,hh_size,3
1668,num_children,0
1669,hh_income,578441
1669,hh_size,4
1669,num_children,2
1670,hh_income,43099
1670,hh_size,4
1670,num_children,1
1671,hh_income,67564
1671,hh_size,2
1671,num_children,0
1677,hh_income,24729
1677,hh_size,1
1677,num_children,0
1680,hh_income,18279
1680,hh_size,1
1680,num_children,0
1682,hh_income,25473
1682,hh_size,1
1682,num_children,0
1688,hh_income,189584
1688,hh_size,4
1688,num_children,2
1694,hh_income,14174
1694,hh_size,1
1694,num_children,0
1695,hh_income,148589
1695,hh_size,3
1695,num_children,0
1701,hh_income,45859
1701,hh_size,1
1701,num_children,0
1707,hh_income,93644
1707,hh_size,1
1707,num_children,0
1717,hh_income,142394
1717,hh_size,4
1717,num_children,0
1723,hh_income,27309
1723,hh_size,2
1723,num_children,0
1727,hh_income,39432
1727,hh_size,2
1727,num_children,0
1734,hh_income,58773
1734,hh_size,2
1734,num_children,0
1738,hh_income,1843
1738,hh_size,1
1738,num_children,0
1749,hh_income,20282
1749,hh_size,1
1749,num_children,0
1750,hh_income,16610
1750,hh_size,1
1750,num_children,0
1754,hh_income,209
1754,hh_size,1
1754,num_children,0
1755,hh_income,50521
1755,hh_size,1
1755,num_children,0
1759,hh_income,53995
1759,hh_size,2
1759,num_children,0
1760,hh_income,45395
1760,hh_size,1
1760,num_children,0
1761,hh_income,36214
1761,hh_size,1
1761,num_children,0
1780,hh_income,104556
1780,hh_size,4
1780,num_children,0
1782,hh_income,70188
1782,hh_size,2
1782,num_children,0
1792,hh_income,397496
1792,hh_size,2
1792,num_children,0
1801,hh_income,68340
1801,hh_size,3
1801,num_children,1
1806,hh_income,297428
1806,hh_size,2
1806,num_children,0
1807,hh_income,160494
1807,hh_size,2
1807,num_children,0
1808,hh_income,61110
1808,hh_size,2
1808,num_children,1
1809,hh_income,9164
1809,hh_size,1
1809,num_children,0
1813,hh_income,74
1813,hh_size,1
1813,num_children,0
1817,hh_income,95057
1817,hh_size,3
1817,num_children,0
1818,hh_income,77754
1818,hh_size,2
1818,num_children,0
1823,hh_income,29222
1823,hh_size,1
1823,num_children,0
1827,hh_income,190
1827,hh_size,1
1827,num_children,0
1840,hh_income,122456
1840,hh_size,3
1840,num_children,0
1841,hh_income,72172
1841,hh_size,2
1841,num_children,0
1853,hh_income,195
1853,hh_size,1
1853,num_children,0
1855,hh_income,101605
1855,hh_size,5
1855,num_children,1
1867,hh_income,101247
1867,hh_size,3
1867,num_children,0
1871,hh_income,85785
1871,hh_size,4
1871,num_children,0
1874,hh_income,143
1874,hh_size,1
1874,num_children,0
1876,hh_income,54325
1876,hh_size,2
1876,num_children,0
1885,hh_income,133541
1885,hh_size,2
1885,num_children,0
1901,hh_income,238
1901,hh_size,1
1901,num_children,0
1907,hh_income,30948
1907,hh_size,1
1907,num_children,0
1917,hh_income,48453
1917,hh_size,2
1917,num_children,0
1918,hh_income,70438
1918,hh_size,4
1918,num_children,2
1926,hh_income,73237
1926,hh_size,2
1926,num_children,0
1936,hh_income,103
1936,hh_size,1
1936,num_children,0
1942,hh_income,32548
1942,hh_size,1
1942,num_children,0
1945,hh_income,87329
1945,hh_size,2
1945,num_children,0
1950,hh_income,142910
1950,hh_size,2
1950,num_children,0
1954,hh_income,26559
1954,hh_size,1
1954,num_children,0
1955,hh_income,18186
1955,hh_size,1
1955,num_children,0
1963,hh_income,41415
1963,hh_size,2
1963,num_children,0
1964,hh_income,125532
1964,hh_size,2
1964,num_children,0
1970,hh_income,25534
1970,hh_size,3
1970,num_children,0
1972,hh_income,93154
1972,hh_size,4
1972,num_children,0
1973,hh_income,90045
1973,hh_size,2
1973,num_children,0
1982,hh_income,107504
1982,hh_size,3
1982,num_children,1
1986,hh_income,78303
1986,hh_size,2
1986,num_children,0
2012,hh_income,244677
2012,hh_size,2
2012,num_children,0
2019,hh_income,20623
2019,hh_size,1
2019,num_children,0
2034,hh_income,95347
2034,hh_size,2
2034,num_children,0
2050,hh_income,66438
2050,hh_size,3
2050,num_children,1
2052,hh_income,16163
2052,hh_size,1
2052,num_children,0
2055,hh_income,49403
2055,hh_size,2
2055,num_children,0
2060,hh_income,222886
2060,hh_size,4
2060,num_children,2
2062,hh_income,89356
2062,hh_size,2
2062,num_children,0
2067,hh_income,331552
2067,hh_size,3
2067,num_children,0
2079,hh_income,96060
2079,hh_size,3
2079,num_children,0
2080,hh_income,49241
2080,hh_size,1
2080,num_children,0
2087,hh_income,49380
2087,hh_size,3
2087,num_children,0
2089,hh_income,4117
2089,hh_size,1
2089,num_children,0
2093,hh_income,150288
2093,hh_size,1
2093,num_children,0
2098,hh_income,157351
2098,hh_size,4
2098,num_children,0
2099,hh_income,21219
2099,hh_size,1
2099,num_children,0
2114,hh_income,1624
2114,hh_size,3
2114,num_children,2
2127,hh_income,8216
2127,hh_size,1
2127,num_children,0
2130,hh_income,20495
2130,hh_size,1
2130,num_children,0
2137,hh_income,22498
2137,hh_size,2
2137,num_children,0
2142,hh_income,77583
2142,hh_size,4
2142,num_children,2
2144,hh_income,100234
2144,hh_size,4
2144,num_children,2
2153,hh_income,64384
2153,hh_size,6
2153,num_children,4
2165,hh_income,55326
2165,hh_size,2
2165,num_children,0
2171,hh_income,136722
2171,hh_size,3
2171,num_children,0
2184,hh_income,50209
2184,hh_size,1
2184,num_children,0
2185,hh_income,5570
2185,hh_size,1
2185,num_children,0
2188,hh_income,219
2188,hh_size,1
2188,num_children,0
2190,hh_income,175335
2190,hh_size,3
2190,num_children,1
2199,hh_income,60941
2199,hh_size,4
2199,num_children,0
2212,hh_income,260
2212,hh_size,1
2212,num_children,0
2231,hh_income,4392
2231,hh_size,1
2231,num_children,0
2244,hh_income,179393
2244,hh_size,2
2244,num_children,0
2250,hh_income,25613
2250,hh_size,1
2250,num_children,0
2263,hh_income,35650
2263,hh_size,1
2263,num_children,0
2268,hh_income,66983
2268,hh_size,2
2268,num_children,0
2273,hh_income,16364
2273,hh_size,2
2273,num_children,0
2282,hh_income,15345
2282,hh_size,3
2282,num_children,2
2293,hh_income,96337
2293,hh_size,5
2293,num_children,3
2294,hh_income,25118
2294,hh_size,1
2294,num_children,0
2300,hh_income,42412
2300,hh_size,2
2300,num_children,0
2302,hh_income,49738
2302,hh_size,1
2302,num_children,0
2304,hh_income,58316
2304,hh_size,2
2304,num_children,0
2309,hh_income,136416
2309,hh_size,4
2309,num_children,0
2314,hh_income,216
2314,hh_size,1
2314,num_children,0
2316,hh_income,91156
2316,hh_size,1
2316,num_children,0
2319,hh_income,129128
2319,hh_size,2
2319,num_children,0
2326,hh_income,22052
2326,hh_size,2
2326,num_children,0
2331,hh_income,21175
2331,hh_size,1
2331,num_children,0
2333,hh_income,59632
2333,hh_size,3
2333,num_children,0
2334,hh_income,193
2334,hh_size,1
2334,num_children,0
2338,hh_income,40264
2338,hh_size,1
2338,num_children,0
2339,hh_income,42723
2339,hh_size,3
2339,num_children,1
2340,hh_income,105361
2340,hh_size,2
2340,num_children,0
2344,hh_income,25100
2344,hh_size,1
2344,num_children,0
2345,hh_income,73820
2345,hh_size,4
2345,num_children,2
2348,hh_income,55388
2348,hh_size,1
2348,num_children,0
2358,hh_income,60312
2358,hh_size,1
2358,num_children,0
2368,hh_income,13244
2368,hh_size,2
2368,num_children,0
2381,hh_income,66121
2381,hh_size,1
2381,num_children,0
2384,hh_income,28189
2384,hh_size,1
2384,num_children,0
2387,hh_income,131460
2387,hh_size,4
2387,num_children,2
2389,hh_income,70434
2389,hh_size,2
2389,num_children,0
2394,hh_income,182949
2394,hh_size,3
2394,num_children,0
2396,hh_income,120224
2396,hh_size,1
2396,num_children,0
2400,hh_income,22614
2400,hh_size,1
2400,num_children,0
2406,hh_income,4433
2406,hh_size,1
2406,num_children,0
2411,hh_income,12742
2411,hh_size,1
2411,num_children,0
2422,hh_income,32138
2422,hh_size,1
2422,num_children,0
2423,hh_income,60580
2423,hh_size,2
2423,num_children,0
2430,hh_income,220329
2430,hh_size,5
2430,num_children,3
2434,hh_income,7639
2434,hh_size,1
2434,num_children,0
2436,hh_income,90654
2436,hh_size,4
2436,num_children,2
2440,hh_income,183330
2440,hh_size,2
2440,num_children,0
2443,hh_income,49682
2443,hh_size,2
2443,num_children,0
2449,hh_income,9938
2449,hh_size,4
2449,num_children,3
2451,hh_income,17538
