person_id,age,citizen_status,nativity_status,weekly_hours_worked,marital_status,school_status,sex,when_last_worked,worked_last_week,language,race_native_american,race_asian,race_black,race_native_hawaiian,race_pacific_islander,race_white,race_other,uninsured,household_id,hh_income_pct
10,62,citizen_birth,native_born,55,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,5,0.3890783093851706
11,65,citizen_birth,native_born,40,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,0,5,0.6109216906148294
15,70,citizen_birth,native_born,0,married,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,0,9,0.7353811767548629
16,70,citizen_birth,native_born,20,married,not_student,F,in_last_year,did_not_work,English,0,0,0,0,0,1,0,0,9,0.26461882324513714
43,75,citizen_birth,native_born,0,married,not_student,FEMALE,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,0,22,0.25023045831659063
44,67,citizen_birth,native_born,0,married,not_student,MALE,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,0,22,0.6899331079963127
45,18,citizen_birth,native_born,20,never_married,public_school,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,22,0.0598364336870967
62,27,citizen_birth,native_born,40,divorced,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,31,0.4179812557020818
63,30,citizen_birth,native_born,40,divorced,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,31,0.5820187442979182
69,80,citizen_birth,native_born,0,divorced,not_student,MALE,over_five_years_ago,did_not_work,English,1,0,0,0,0,1,0,0,35,1
72,40,citizen_naturalized,foreign_born,40,never_married,not_student,MALE,in_last_year,worked,Polish,0,0,0,0,0,1,0,0,37,1
78,85,citizen_birth,native_born,0,married,not_student,M,over_five_years_ago,did_not_work,English,0,0,1,0,0,0,0,0,41,0.5254582484725051
79,67,citizen_birth,native_born,0,married,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,1,0,0,0,0,0,41,0.4745417515274949
80,38,citizen_birth,native_born,70,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,42,1
81,46,citizen_birth,native_born,40,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,43,0.4667163801483415
82,47,citizen_birth,native_born,55,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,43,0.5332836198516585
89,57,citizen_birth,native_born,40,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,49,0.4379499456180836
90,62,citizen_birth,native_born,40,married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,49,0.388022167104983
91,22,citizen_birth,native_born,40,never_married,public_school,M,in_last_year,worked,English,0,0,0,0,0,1,0,0,49,0.12113643818588832
92,22,citizen_birth,native_born,16,never_married,public_school,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,49,0.05289144909104511
106,58,citizen_birth,native_born,45,married,not_student,MALE,in_last_year,did_not_work,English,0,0,0,0,0,1,0,0,58,0.9407005172385118
107,54,citizen_birth,native_born,20,married,not_student,FEMALE,in_last_year,did_not_work,English,0,0,0,0,0,1,0,0,58,0.059299482761488186
132,34,citizen_birth,native_born,40,married,not_student,FEMALE,in_last_year,worked,Spanish,0,0,0,0,0,1,0,0,71,0.5487425110546233
133,44,citizen_birth,native_born,40,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,71,0.45125748894537665
144,81,citizen_birth,native_born,0,divorced,not_student,FEMALE,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,0,75,1
147,33,citizen_naturalized,foreign_born,44,married,not_student,MALE,in_last_year,worked,Spanish,0,0,0,0,0,1,0,0,77,0.5699754222960974
148,26,noncitizen,foreign_born,40,married,not_student,FEMALE,in_last_year,worked,Spanish,0,0,0,0,0,1,0,0,77,0.4300245777039026
186,66,citizen_birth,native_born,0,never_married,not_student,male,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,1,90,1
187,44,citizen_birth,native_born,38,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,91,0.6944944794061122
188,40,citizen_birth,native_born,15,married,not_student,female,in_last_year,worked,English,0,0,0,0,0,1,0,0,91,0.3055055205938878
213,37,citizen_birth,native_born,65,divorced,not_student,MALE,in_last_year,worked,English,0,0,1,0,0,0,0,0,99,1
223,69,citizen_birth,native_born,32,divorced,not_student,F,in_last_year,did_not_work,English,0,0,0,0,0,1,0,0,102,0.8500603326163371
224,40,citizen_birth,native_born,8,never_married,not_student,MALE,in_last_year,did_not_work,English,0,0,1,0,0,0,0,0,102,0.149939667383663
228,46,citizen_birth,native_born,40,married,not_student,female,in_last_year,not_reported,English,0,0,0,0,0,1,0,0,104,0.506598137656364
229,46,citizen_birth,native_born,60,married,not_student,M,in_last_year,not_reported,English,0,0,0,0,0,1,0,0,104,0.3517417400572166
230,22,citizen_birth,native_born,45,never_married,public_school,MALE,in_last_year,not_reported,English,0,0,0,0,0,1,0,0,104,0.14166012228641947
233,29,noncitizen,foreign_born,40,never_married,public_school,MALE,in_last_year,worked,Chinese,0,1,0,0,0,0,0,0,106,1
234,23,citizen_birth,native_born,0,never_married,not_student,female,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,0,107,1
238,28,citizen_naturalized,foreign_born,45,never_married,not_student,MALE,in_last_year,worked,Korean,0,1,0,0,0,0,0,0,109,0.4332062061838809
239,40,noncitizen,foreign_born,44,married,not_student,MALE,in_last_year,worked,Formosan,0,1,0,0,0,0,0,0,109,0.5667937938161192
241,54,citizen_birth,native_born,0,married,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,0,111,0.18759491058133193
242,52,citizen_birth,native_born,40,married,not_student,M,in_last_year,worked,English,0,0,0,0,0,1,0,0,111,0.06593244578117859
243,27,citizen_birth,native_born,40,never_married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,111,0.37362702168752854
244,23,citizen_birth,native_born,40,never_married,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,111,0.3728456219499609
246,34,citizen_birth,native_born,40,married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,0,113,0.9971511259835398
247,35,citizen_birth,native_born,0,married,not_student,FEMALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,0,113,0.002848874016460161
258,52,citizen_birth,native_born,27,married,not_student,female,in_last_year,worked,English,0,0,0,0,0,1,0,0,119,0.1563327005944051
