person_id,age,citizen_status,nativity_status,weekly_hours_worked,total_income,self_employed_income,wage_income,interest_income,other_income,marital_status,school_status,sex,when_last_worked,worked_last_week,language,race_native_american,race_asian,race_black,race_native_hawaiian,race_pacific_islander,race_white,race_other,household_id
12,28,citizen_birth,native_born,45,15254,15081,82,16,75,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,6
13,40,citizen_birth,native_born,32,10291,45,9068,57,1121,divorced,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,7
22,68,citizen_birth,native_born,0,13194,80,34,69,13011,married,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,13
23,64,citizen_birth,native_born,40,30194,33,30094,37,30,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,13
25,29,citizen_birth,native_born,40,52174,12,52101,52,9,never_married,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,15
26,19,citizen_birth,native_born,18,7793,42,7600,77,74,never_married,public_school,M,in_last_year,worked,English,0,0,0,0,0,1,0,15
47,81,citizen_birth,native_born,0,22950,94,70,52,22734,widowed,not_student,F,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,24
50,49,citizen_birth,native_born,50,128188,128074,18,49,47,married,not_student,F,in_last_year,worked,English,0,0,0,0,0,1,0,26
64,62,citizen_birth,native_born,0,32781,15,87,23,32656,widowed,not_student,FEMALE,in_last_five_years,did_not_work,English,0,0,1,0,0,0,0,32
65,72,citizen_birth,native_born,0,46774,20,47,3272,43435,widowed,not_student,FEMALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,33
66,47,citizen_birth,native_born,0,7877,5,44,91,7737,never_married,not_student,MALE,over_five_years_ago,did_not_work,English,0,0,0,0,0,1,0,33
77,90,citizen_birth,native_born,0,21108,44,63,3819,17182,separated,not_student,FEMALE,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,40
83,23,citizen_birth,native_born,35,41081,6,41020,15,40,never_married,not_student,female,in_last_year,worked,English,0,0,0,0,0,1,0,44
87,71,citizen_birth,native_born,0,13404,96,32,156,13120,married,not_student,female,over_five_years_ago,not_reported,English,0,0,0,0,0,1,0,48
88,75,citizen_birth,native_born,40,311184,63,280061,55,31005,married,not_student,MALE,in_last_year,not_reported,Spanish,0,0,0,0,0,1,0,48
95,64,citizen_birth,native_born,0,237,52,41,68,76,married,not_student,MALE,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,52
96,65,citizen_birth,native_born,0,66288,58,94,1047,65089,married,not_student,F,in_last_five_years,did_not_work,English,0,0,0,0,0,1,0,52
97,58,citizen_birth,native_born,40,97286,83,97076,49,78,married,not_student,MALE,in_last_year,worked,English,0,0,1,0,0,0,0,53
98,55,citizen_birth,native_born,35,14153,1,14014,51,87,married,not_student,FEMALE,in_last_year,worked,English,0,0,1,0,0,0,0,53
100,48,citizen_birth,native_born,50,2249,2044,85,31,89,divorced,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,55
110,55,citizen_birth,native_born,40,8154,5,8058,54,37,divorced,not_student,MALE,in_last_year,did_not_work,English,0,0,0,0,0,1,0,60
111,49,citizen_birth,native_born,40,34239,55,27063,62,7059,divorced,not_student,FEMALE,in_last_year,worked,English,0,0,0,0,0,1,0,61
112,46,citizen_birth,native_born,40,60233,91,60005,84,53,divorced,not_student,MALE,in_last_year,worked,English,0,0,0,0,0,1,0,61
120,52,citizen_birth,native_born,30,29125,4,29040,74,7,never_married,not_student,F,in_last_year,worked,English,0,0,1,0,0,0,0,65
126,59,citizen_birth,native_born,45,58283,80,58006,100,97,married,not_student,M,in_last_year,worked,German,0,0,0,0,0,1,0,69
